54 (1998)
A Boy and his Dog (1975)
A Few Good Men (1992)
A Month by the Lake (1995)
A Shock to the System (1990)
Adventureland (2009)
Air Force One (1997)
All of Me (1984)
All Quiet on the Western Front (1979)
Almost Famous (2000)
Alpha Dog (2006)
American Son (2008)
An American Werewolf in London (1981)
An Empress and the Warriors (2008)
Anaconda (1997)
As Good as it Gets (1997)
August (2008)
Baby Boy (2001)
Bad Lieutenant (1992)
Battle Royale (2000)
Beaches (1988)
Beautiful Girls (1996)
Before the Rain (1994)
Below (2002)
Best of the Best (1989)
Beyond Re-Animator (2003)
Beyond Therapy (1986)
Billabong Odyssey (2003)
Black Moon Rising (1986)
Bloody Sunday (2002)
Bounce (2000)
Boys and Girls (2000)
Bridge To Terabithia (2007)
Bullet Boy (2004)
Candyman (1992)
Chasing Amy (1997)
Chocolat (2000)
City of Men (2007)
Clerks (1994)
Clockwork Mice (1995)
Cocktail (1988)
Con Air (1997)
Confessions of a Dangerous Mind (2002)
Confucius (2010)
Conspiracy of Silence (2003)
Conversations With Other Women (2005)
Cop Land (1997)
Cracking the Da Vinci Code (2004)
Creation (2009)
Cruel Intentions (1999)
Darkness (2002)
Day of the Dead (1985)
Death of a Salesman (1985)
Dogville (2003)
Don’t Tell Mom the Babysitter’s Dead (1991)
Double Whammy (2001)
Doubt (2009)
Down to You (2000)
Dragon Tiger Gate (2006)
Dream With the Fishes (1997)
Dreamscape (1984)
Driving Lessons (2006)
Drop Dead Gorgeous (1999)
Ella Enchanted (2004)
Emma (1996)
End Call (2008)
Equilibrium (2002)
Escape From Sobibor (1987)
Everybody’s Fine (2009)
Evidence of Love (1990)
Evil Aliens (2005)
Face/Off (1997)
Farce of the Penguins (2006)
Fatal Move (2008)
Female Perversions (1996)
Fetishes (1996)
Finding Neverland (2004)
Flirting With Disaster (1996)
Flowers in the Attic (1987)
For the Bible Tells Me So (2007)
Force of Five (2009)
Frida (2002)
From Dusk Till Dawn (1995)
Galaxy of Terror (1981)
George Washington (2000)
Get Over It (2001)
Girls Just Want to Have Fun (1985)
Godzilla (1998)
Gone Baby Gone (2007)
Good Will Hunting (1997)
Happy Accidents (2000)
Happy Ever Afters (2009)
Hero (2002)
High Fidelity (2000)
Holy Smoke (1999)
Holy Water (2009)
Hook (1991)
House of Cards (1992)
House of Fury (2005)
Hunting the Lost Symbol (2009)
I Hope They Serve Beer in Hell (2010)
I Love Your Work (2003)
I’m Not Scared (2003)
I’m Reed Fish (2006)
Impostor (2001)
In the Bedroom (2001)
In the Line of Fire (1993)
In Too Deep (1999)
Indochine (1992)
Ink (2009)
Invitation Only (2009)
Iris (2001)
Irresistible (2006)
It’s a Boy Girl Thing (2006)
Jackie Brown (1997)
Jackie Chan and the Kung Fu Kid (2009)
JCVD (2008)
Jersey Girl (2004)
Jesus of Montreal (1989)
Jumanji (1995)
K2 (1992)
Kate & Leopold (2001)
Keeping Up With The Steins (2006)
Kidulthood (2006)
King Arthur (2004)
King of California (2007)
Kinky Boots (2005)
Kung Fu Dunk (2008)
Lady Vengeance (2005)
Lantana (2001)
Last Action Hero (1993)
Let Him Have It (1991)
Little Ashes (2008)
Little Big Soldier (2010)
Lower City (2005)
Lust in the Dust (1984)
MacHeads (2009)
Made For Each Other (2009)
Man on Wire (2008)
Man with the Screaming Brain (2005)
Marvin’s Room (1996)
Matilda (1996)
McLintock! (1963)
Mean Streets (1973)
Mimic (1997)
Missing (2009)
Modify (2005)
Mondays in the Sun (2002)
Mulan (2009)
Muppets from Space (1999)
My Boss’s Daughter (2003)
Mysterious Skin (2004)
Night of the Demons (1988)
Nightwatch (1998)
Nude Nuns with Big Guns (2010)
OldBoy (2003)
Ordinary Decent Criminal (2000)
Outside Providence (1999)
Pandorum (2009)
Party Monster (2003)
Pervert! (2005)
Phenomena (1985)
Pinocchio (2002)
Pontypool (2008)
Primer (2004)
Prowl (2010)
Prozac Nation (2001)
Raging Phoenix (2009)
Rain Fall (2009)
Rampage (1987)
Red Dust (2004)
Red Scorpion (1988)
Rembrandt’s J’Accuse (2008)
Rounders (1998)
Rumble in the Bronx (1996)
Scary Movie (2000)
Scary Movie 2 (2001)
Scary Movie 3 (2004)
Scorched (2002)
Scream (1996)
Secretary (2002)
Serendipity (2000)
Shades of Ray (2008)
Shaolin (2011)
Shaolin Soccer (2001)
Sin City (2005)
Sin Nombre (2009)
Sirens (1993)
Sleepless in Seattle (1993)
Sling Blade (1996)
Soul Man (1986)
Sparrow (2008)
Splinter (2008)
Stalker (2010)
Starter For 10 (2006)
Street Fighter (1994)
Super Size Me (2004)
Tell No One (2007)
Texas Rangers (2000)
The 6th Day (2000)
The Accidental Spy (2001)
The Aviator (2004)
The Bridge (2006)
The Brothers Grimm (2005)
The Cable Guy (1996)
The Cider House Rules (1999)
The Contender (2000)
The Corporation (2003)
The Detective (2007)
The Dungeon Masters (2007)
The Faculty (1998)
The Final Countdown (1980)
The Four Feathers (2002)
The Great Raid (2005)
The Hitchhiker’s Guide to the Galaxy (2004)
The Honeymooners (2003)
The Horse Whisperer (1998)
The Horseman (2008)
The Independent (2000)
The Karate Kid (1984)
The Killing Time (1987)
The Lawnmower Man (1992)
The Life Aquatic with Steve Zissou (2004)
The Lookout (2007)
The Machine Girl (2008)
The Martins (2001)
The Mask of Zorro (1998)
The Muppets Take Manhattan (1984)
The Night Listener (2006)
The Others (2001)
The Philadelphia Experiment (1984)
The Promise (2005)
The Prophecy (1995)
The Quiet American (2002)
The Ramen Girl (2008)
The Rock (1996)
The Storm Warriors (2009)
The Sword with No Name (2009)
The Talented Mr. Ripley (1999)
The Waterboy (1998)
The Woodsman (2004)
The World’s Fastest Indian (2005)
There Will Be Blood (2007)
Thomas and the Magic Railroad (2000)
Three Men and a Baby (1987)
Tokyo Decadence (1992)
Tokyo Gore Police (2008)
Tombstone (1993)
Touching Wild Horses (2002)
Trailer Park of Terror (2008)
Transylvania 6-5000 (1985)
Triggermen (2007)
Tuff Turf (1985)
U Turn (1997)
Under the Tuscan Sun (2004)
Underclassman (2005)
Undertow (2004)
Vamp (1986)
Vatel (2000)
Venom (2005)
Waking up in Reno (2001)
Wilderness Survival for Girls (2004)
Wildflower (1991)
Winter in Wartime (2008)
Wonderland (2004)
You Kill Me (2007)
Young Bruce Lee (2010)
Zulu (1964)
Zulu Dawn (1979)
TV Seasons on both Netflix and Lovefilm Instant
24 – Series 1
24 – Series 2
24 – Series 3
24 – Series 4
24 – Series 5
24 – Series 6
24 – Series 7
24 – Series 8
6Teen – Series 1
6Teen – Series 2
6Teen – Series 3
A Wrinkle in Time – Series 1
Andromeda – Series 1
Andromeda – Series 2
Andromeda – Series 3
Andromeda – Series 4
Andromeda – Series 5
Ashes to Ashes – Series 1
Ashes to Ashes – Series 2
Ashes to Ashes – Series 3
Babar and the Adventures of Badou – Series 1
Balls of Steel – Series 1
Being Ian – Series 1
Being Ian – Series 2
Being Ian – Series 3
Beyblade – Series 1
Black Books – Series 1
Black Books – Series 2
Black Books – Series 3
Blazing Dragons – Series 1
